Engagement_Cluster,engagement_score,experience_score,satisfaction_score
0,5216141.332235951,5216141.332235951,5216141.332235951
1,3319669.7683789716,3319669.7683789716,3319669.7683789716
2,3518571.3942753826,3518571.3942753826,3518571.3942753826
